# title: せんぱい @S_iRe_N
# category: handon.club
# @S_iRe_N@handon.club の投稿より(本人確認済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
DMで送ってみたけどだめだった！DM除外だったりする？	DMでおくってみたけどだめだった！DMじょがいだったりする？
試しに何がピックされるかやってみようかな	ためしになにがぴっくされるかやってみようかな
すっごい長いかすっごい短いかどっちかなんだけど	すっごいながいかすっごいみじかいかどっちかなんだけど
え、これ自分の投稿で試せるんだ	え、これじぶんのとうこうでためせるんだ
スタンミ6行きます	すたんみ6いきます
1 4万人見てるの草	1 4まんにんみてるのくさ
ギリギリまで観戦合流	ぎりぎりまでかんせんごうりゅう
Akariのシャット入ったの見た	Akariのしゃっとはいったのみた
外、東南アジアみたいなえぐい暑さ	そと、とうなんあじあみたいなえぐいあつさ
もう楽にしてやってほしい	もうらくにしてやってほしい
昨日終わったときD1の5LPくらいだったのにちゃんとテクテク上がりはするのえらい	きのうおわったときD1の5LPくらいだったのにちゃんとてくてくあがりはするのえらい
いけいけいけいけ	いけいけいけいけ
セ・リーグの順位表見たら、横浜は巨人より50点も得点多くてびっくり。巨人は盗塁が多い。	せりーぐのじゅんいひょうみたら、よこはまはきょじんより50てんもとくてんおおくてびっくり。きょじんはとうるいがおおい。
スタさんのマスター見届けは頼みました	すたさんのますたーみとどけはたのみました
今日のお食事会、初手でアイス頼みたい	きょうのおしょくじかい、しょてであいすたのみたい
めっちゃカメレオンやる？明日	めっちゃかめれおんやる？あした
さまざまなフィルター	さまざまなふぃるたー
今日はさすがに何もする気が起きなくてぽけーっと座って、思い出したように少し食べて、を繰り返してた	きょうはさすがになにもするきがおきなくてぽけーっとすわって、おもいだしたようにすこしたべて、をくりかえしてた
目が限界だけど寝たくないのでいただきもののめぐりズム蒸気でアイマスク、を使わせていただきます	めがげんかいだけどねたくないのでいただきもののめぐりずむじょうきであいますく、をつかわせていただきます
スーパーマーケットの配送受け取ったら流石にちょっと仮眠しようかなぁ どうしよう	すーぱーまーけっとのはいそううけとったらさすがにちょっとかみんしようかなぁ どうしよう
朝活LoL勝てそう	あさかつLoLかてそう
昨日のオムライスおいしかったな になって、オムライス錬成しはじめた	きのうのおむらいすおいしかったな になって、おむらいすれんせいしはじめた
とりあえずお昼までLoLやってそれから寝るか	とりあえずおひるまでLoLやってそれからねるか
若い若い	わかいわかい
各パート会費連絡、思い出した頃にやります！ お疲れ様でした！ すてらんから梅酒いただいたので大事に持って帰りつつある	かくぱーとかいひれんらく、おもいだしたころにやります！ おつかれさまでした！ すてらんからうめしゅいただいたのでだいじにもってかえりつつある
納涼会ご参集ありがとうございました！ かき氷 やかんハイボール 集合写真 お食事会 有志でオールカラオケでした またいつか！	のうりょうかいごさんしゅうありがとうございました！ かきごおり やかんはいぼーる しゅうごうしゃしん おしょくじかい ゆうしでおーるからおけでした またいつか！
2次会解散！ お疲れ様でした 遊んだ	2じかいかいさん！ おつかれさまでした あそんだ
吉田チャレンジ	よしだちゃれんじ
せいべさんが一緒に爆裂歌ってくれてすごい嬉しかった 夏ボだ！！！！！！！！！	せいべさんがいっしょにばくれつうたってくれてすごいうれしかった なつぼだ！！！！！！！！！
