# title: はん @highemerly
# category: handon.club
# @highemerly@handon.club の投稿より(本人確認済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
ふぁぼられたけどこれは許諾ってことですか！？	ふぁぼられたけどこれはきょだくってことですか！？
ハーゲンダッツのアウトレットに行ったので家にたくさんハーゲンダッツがある	はーげんだっつのあうとれっとにいったのでいえにたくさんはーげんだっつがある
定期アイス	ていきあいす
この世で一番嫌いなサービスはお名前 comです	このよでいちばんきらいなさーびすはおなまえ comです
Vultrのメンテナンス告知が大量に来た	Vultrのめんてなんすこくちがたいりょうにきた
AI株下がっとるやん、買おうかな	AIかぶさがっとるやん、かおうかな
ひろあきちゃんにサーバー貸して儲けるビジネスしたい	ひろあきちゃんにさーばーかしてもうけるびじねすしたい
完全サーバーレス構成でタイピングゲーム作れそうだ	かんぜんさーばーれすこうせいでたいぴんぐげーむつくれそうだ
こういうこと？	こういうこと？
・投稿内容の権利はユーザーに帰属します。ただしせいべさんを除きます。	・とうこうないようのけんりはゆーざーにきぞくします。ただしせいべさんをのぞきます。
タイピングゲームでせいべさんの投稿使いたい	たいぴんぐげーむでせいべさんのとうこうつかいたい
タイピングゲームだいたいできたな、リリースするか	たいぴんぐげーむだいたいできたな、りりーすするか
カタリストを裸のまま新幹線で緊急輸送した経験のあるネットワークエンジニアでいいですか？	かたりすとをはだかのまましんかんせんできんきゅうゆそうしたけいけんのあるねっとわーくえんじにあでいいですか？
マルチ商法はやっておりません	まるちしょうほうはやっておりません
それじゃ誰も読まねえよ	それじゃだれもよまねえよ
noteって結局肩書きだよね、私はなんで名乗ればいいの	noteってけっきょくかたがきだよね、わたしはなんでなのればいいの
ことら送金とかって毎月自動化できんのかな	ことらそうきんとかってまいつきじどうかできんのかな
あと本気でfantia辞めたいんだけどどこが良いの	あとほんきでfantiaやめたいんだけどどこがよいの
現役慶応ボーイです！大学の同期の友人4人中2人がホストです！っていえば儲かりますか？	げんえきけいおうぼーいです！だいがくのどうきのゆうじん4にんちゅう2にんがほすとです！っていえばもうかりますか？
冗談です 万が一そこまでやるならWikipedia式の寄付のお願いにします	じょうだんです まんがいちそこまでやるならWikipediaしきのきふのおねがいにします
はんドンに消えない動画広告出すか 1分みたら24時間は広告が出ません！のやつ	はんどんにきえないどうがこうこくだすか 1ふんみたら24じかんはこうこくがでません！のやつ
どうでもいいんだけど、この会社の名前、私のIDみたいで面白かったです	どうでもいいんだけど、このかいしゃのなまえ、わたしのIDみたいでおもしろかったです
こんなしょもーないことやったら五百円稼げたわガハハハって人に言いたいだけなのかもしれん	こんなしょもーないことやったらごひゃくえんかせげたわがはははってひとにいいたいだけなのかもしれん
しょーもない小遣い稼ぎしたい。なんでやりたいのかはわからんけど、マジでどうでもいいことをやって小銭だけ得たい。	しょーもないこづかいかせぎしたい。なんでやりたいのかはわからんけど、まじでどうでもいいことをやってこぜにだけえたい。
そろそろ世間一般的にAIの書いた記事が嫌いになってきたころだと思うので、私のこういう考えをnoteに書いて販売して儲けるか。	そろそろせけんいっぱんてきにAIのかいたきじがきらいになってきたころだとおもうので、わたしのこういうかんがえをnoteにかいてはんばいしてもうけるか。
私の転職についての怪文書ならあるけど多分何も参考にならない	わたしのてんしょくについてのかいぶんしょならあるけどたぶんなにもさんこうにならない
TLS化だけじゃなくてネイキッドドメインになってて面白い	TLSかだけじゃなくてねいきっどどめいんになってておもしろい
あ、ベンダーに早くやれって言うだけが仕事の人だ、、	あ、べんだーにはやくやれっていうだけがしごとのひとだ、、
これにMastodon連携つけたらSNStyping完成じゃん	これにMastodonれんけいつけたらSNStypingかんせいじゃん
もうできたすごい	もうできたすごい
作り始めた	つくりはじめた
あ、SNS typing復活させるか	あ、SNS typingふっかつさせるか
はんドンクラブが重たすぎるせいであって他は特にリソースを食っていない	はんどんくらぶがおもたすぎるせいであってほかはとくにりそーすをくっていない
タイピングゲーム作りたいな	たいぴんぐげーむつくりたいな
あさこーひー	あさこーひー
実績ページをリニューアルしました。	じっせきぺーじをりにゅーあるしました。
はーいまたリリースしました	はーいまたりりーすしました
ノンアルの場合もあるんだ	のんあるのばあいもあるんだ
おなかすいた	おなかすいた
うげえeee	うげえeee
弊サービスで唯一AWSを使っているのは ですがなんかこれは落ちてませんね。 冗長性確保のため監視系だけAWSを使っています	へいさーびすでゆいいつAWSをつかっているのは ですがなんかこれはおちてませんね。 じょうちょうせいかくほのためかんしけいだけAWSをつかっています
AWS死んでません？	AWSしんでません？
