# id: highemerly
# title: はん @highemerly
# @highemerly@handon.club の投稿より(本人許諾済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
気絶してた	きぜつしてた
せいべさんに勝つためにはおそらく450KPMくらいは必須	せいべさんにかつためにはおそらく450KPMくらいはひっす
あとはリザルトのSNS投稿だよね、後でやっとく	あとはりざるとのSNSとうこうだよね、あとでやっとく
うーん・・・？	うーん・・・？
うーんそのリクエストIDログにないんだけどなぜ、、、？	うーんそのりくえすとIDろぐにないんだけどなぜ、、、？
児ポとJASRACの歌詞以外はだいたい受け入れたいと思っています	こぽとJASRACのかしいがいはだいたいうけいれたいとおもっています
AndroidならOSというかアプリでは	AndroidならOSというかあぷりでは
SHAMEZOは明日より期間限定アレンジがはじまります！	SHAMEZOはあしたよりきかんげんていあれんじがはじまります！
通知が期待どおり来ない時は再ログインまたは再インストールしてみてください。	つうちがきたいどおりこないときはさいろぐいんまたはさいいんすとーるしてみてください。
OLだからセーフ	OLだからせーふ
あれ、shamezo、メール投稿がバグってる	あれ、shamezo、めーるとうこうがばぐってる
引用のやり方です。ブーストボタンを押してね。	いんようのやりかたです。ぶーすとぼたんをおしてね。
RE ただ最近娘が「リュックからう」って言ってしまうのでちょっと悩んでる	RE たださいきんむすめが「りゅっくからう」っていってしまうのでちょっとなやんでる
RE 我が家では「はわく」も「からう」も日常的に使われてる	RE わがやでは「はわく」も「からう」もにちじょうてきにつかわれてる
諸事情でマックナゲット食ってる	しょじじょうでまっくなげっとくってる
あさこーひー	あさこーひー
SHAMEZO、EXIF詳細情報の保存に対応しました。	SHAMEZO、EXIFしょうさいじょうほうのほぞんにたいおうしました。
すでに布団に入っているため、対応は明日になります。 ご期待に添えず、誠に申し訳ございません。	すでにふとんにはいっているため、たいおうはあしたになります。 ごきたいにそえず、まことにもうしわけございません。
ああ、もしかして対戦にしかスペースキーでスタートするモードつけてないっけ	ああ、もしかしてたいせんにしかすぺーすきーですたーとするもーどつけてないっけ
私はFableではありません	わたしはFableではありません
ちょっとタイムアウト値が長すぎるのかな	ちょっとたいむあうとちがながすぎるのかな
shamezoもデカ目リリースした	shamezoもでかめりりーすした
寝る！！！	ねる！！！
スクショというかリザルト	すくしょというかりざると
これスクショにモード明示した方がいいね	これすくしょにもーどめいじしたほうがいいね
私の投稿もタイピングしたい！利用許諾するよ！って方はこのトゥートをふぁぼる 全員分作ることを保証するものではありません	わたしのとうこうもたいぴんぐしたい！りようきょだくするよ！ってほうはこのとぅーとをふぁぼる ぜんいんぶんつくることをほしょうするものではありません
今日は寝ていいですか？	きょうはねていいですか？
せいべゴーストモードは設計完了しましたので後ほどせいべさんに記録方法をお伝えします	せいべごーすともーどはせっけいかんりょうしましたのでのちほどせいべさんにきろくほうほうをおつたえします
読んでもイラッとしないのにタイプしたらイラッとするの謎	よんでもいらっとしないのにたいぷしたらいらっとするのなぞ
せいべさんの文章打ってるとなんかたまにイラっとする	せいべさんのぶんしょううってるとなんかたまにいらっとする
たしかにせいべAIと戦えるモードは必要だな	たしかにせいべAIとたたかえるもーどはひつようだな
マッチングシステム考え直した方がいいな、ロビー的なやつあった方がいいね	まっちんぐしすてむかんがえなおしたほうがいいな、ろびーてきなやつあったほうがいいね
嫌早すぎる	いやはやすぎる
なんか通信切れた	なんかつうしんきれた
110時間の自由時間ほしい	110じかんのじゆうじかんほしい
1行もコード読んでないからいろいろ大丈夫なのかわからない	1こうもこーどよんでないからいろいろだいじょうぶなのかわからない
だれか！！！	だれか！！！
人が多いと多分観戦モードになるけど、見たことがないからよくわからない	ひとがおおいとたぶんかんせんもーどになるけど、みたことがないからよくわからない
誰も来てくれない	だれもきてくれない
これでみんなでタイピングできるよ	これでみんなでたいぴんぐできるよ
え、できた	え、できた
時間とれたからリリースするぞ	じかんとれたからりりーすするぞ
ふぁぼられたけどこれは許諾ってことですか！？	ふぁぼられたけどこれはきょだくってことですか！？
