# id: mill
# title: みる @mill
# order: 80
# @mill@handon.club の投稿より(本人許諾済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
さささんのタイピング難しすぎる	さささんのたいぴんぐむずかしすぎる
ゆっひんひさしぶり	ゆっひんひさしぶり
坂本かっこいい	さかもとかっこいい
オーオーオかーめいー	おーおーおかーめいー
ホテル予約した	ほてるよやくした
カメレオンしたい	かめれおんしたい
疲れ知らずの胃袋	つかれしらずのいぶくろ
牛丼はしご	うしどんぶりはしご
そういえば昨日芹沢鴨みたいなおじさん見たわ	そういえばきのうせりざわかもみたいなおじさんみたわ
関東はも食べないってマジ？	かんとうはもたべないってまじ？
はも食べたい	はもたべたい
等間隔 狭	とうかんかく せま
かえります	かえります
宵々山	よいよいやま
宵々山のため早退け	よいよいやまのためはやびけ
明日晴れるかな	あしたはれるかな
宵々山いく	よいよいやまいく
せんぱいと同じ	せんぱいとおなじ
はんどん公式ベビーハイチェアすとっけ	はんどんこうしきべびーはいちぇあすとっけ
まったりしぶ	まったりしぶ
さっそくポケモンフレンダやりたいと言われてる	さっそくぽけもんふれんだやりたいといわれてる
九鬼嘉隆の墓	くきよしたかのはか
夏休み鳥羽行く	なつやすみとりわいく
悪いことした	わるいことした
プールチェック忘れて牛が虚空に囚われた	ぷーるちぇっくわすれてうしがこくうにとらわれた
上田城かグレートジンバブエ行きたい	うえだしろかぐれーとじんばぶえいきたい
上杉謙信 GACKT のモノマネできる	うえすぎけんしん GACKT のものまねできる
米沢は謙信薄いのでは	よねざわはけんしんうすいのでは
次の旅行は豚見に行く	つぎのりょこうはぶたみにいく
桁下1 2m	けたか1 2m
寝屋川にいれば交野にもいることは想像に難くない	ねやがわにいればかたのにもいることはそうぞうにかたくない
みきさん子育て帰省	みきさんこそだてきせい
おうたいきたい	おうたいきたい
shamezoいつもありがとう	shamezoいつもありがとう
伏見稲荷でお稲荷さんという下ネタ流行った	ふしみいなりでおいなりさんというしもねたはやった
