# title: ささ @sasa_buttyo
# category: handon.club
# @sasa_buttyo@handon.club の投稿より(本人許諾済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
みきちゃんは割とキャッキャウフフしてる	みきちゃんはわりときゃっきゃうふふしてる
俺がヒロインだっ！！！	おれがひろいんだっ！！！
ヒロインたちとキャッキャウフフしたいのわかる	ひろいんたちときゃっきゃうふふしたいのわかる
あ おっぱい	あ おっぱい
明日は人の金で焼肉が食える日	あしたはひとのきんでやきにくがくえるひ
マヨネーズが苦手なので、人生の0 1 くらい損してる気がする	まよねーずがにがてなので、じんせいの0 1 くらいそんしてるきがする
肝臓は沈黙の臓器 ひのゆさんは話すことができる ひのゆさんは肝臓ではない	かんぞうはちんもくのぞうき ひのゆさんははなすことができる ひのゆさんはかんぞうではない
なんだかんだでオル天に落ち着く	なんだかんだでおるてんにおちつく
最近テレビ周りでかなり危なかっかしいことをするので柵を設置したらテレビ見るのにくっそ邪魔なんじゃが！！	さいきんてれびまわりでかなりあぶなかっかしいことをするのでしがらみをせっちしたらてれびみるのにくっそじゃまなんじゃが！！
いちゃいちゃしてぇよなぁ	いちゃいちゃしてぇよなぁ
お、スペイン勝ってる	お、すぺいんかってる
電車で隣に座ってる人が普通に酒くさいんだけどこんな田舎で朝まで飲んでた ？	でんしゃでとなりにすわってるひとがふつうにさけくさいんだけどこんないなかであさまでのんでた ？
生きくらげを卵と一緒に炒めたやつもいい	なまきくらげをたまごといっしょにいためたやつもいい
舞茸の天ぷらが一番好きかな	まいたけのてんぷらがいちばんすきかな
バッティングセンター行ったことない気がする	ばってぃんぐせんたーいったことないきがする
にゅぷにゅぷ	にゅぷにゅぷ
大阪いきてぇ	おおさかいきてぇ
最近色々と余裕がなくて人に優しくできなくなってる気がする 余裕が大事	さいきんいろいろとよゆうがなくてひとにやさしくできなくなってるきがする よゆうがだいじ
たこ焼きをお腹いっぱい食べたいのら	たこやきをおなかいっぱいたべたいのら
いいことを思いついた	いいことをおもいついた
部屋の片付け、マジで賽の河原	へやのかたづけ、まじでさいのかわら
週末にまとまったリラックスタイムが欲しい	しゅうまつにまとまったりらっくすたいむがほしい
47都道府県にいるから	47とどうふけんにいるから
とりあえず1回通せたからwiki読んで建造物について勉強かな	とりあえず1かいとおせたからwikiよんでけんぞうぶつについてべんきょうかな
まさかのしぶ7初勝利が軍事	まさかのしぶ7はつしょうりがぐんじ
ナース服似合ってたょ	なーすふくにあってたょ
みきちゃんが男の娘になった話？	みきちゃんがおとこのむすめになったはなし？
ラムセウムテンティリス！！！！	らむせうむてんてぃりす！！！！
目的を持って買ったはずの餅の使い道がなくなってしまってどう食べようか迷ってる	もくてきをもってかったはずのもちのつかいみちがなくなってしまってどうたべようかまよってる
OWwwwwwwwwww	OWwwwwwwwwww
しぶ7の初ゲームがまだ終わってない あと1ターンの状態で10日くらい経った気がする	しぶ7のはつげーむがまだおわってない あと1たーんのじょうたいで10にちくらいたったきがする
ファナきん	ふぁなきん
焼肉きんぐ行ってみたいんだけど最寄りの店舗が明らかに車で行くの前提の場所なんだよな っていうか全部そうなのかな？	やきにくきんぐいってみたいんだけどもよりのてんぽがあきらかにくるまでいくのぜんていのばしょなんだよな っていうかぜんぶそうなのかな？
ふるさとに納税するか	ふるさとにのうぜいするか
あぁ おっぱい	あぁ おっぱい
ヤニねこちょいちょい読んでるけど、まともな人物がいないんよな カンサイが可愛くて好き	やにねこちょいちょいよんでるけど、まともなじんぶつがいないんよな かんさいがかわいくてすき
春はあげもの やうやう茶色くなりゆく揚げぎは	はるはあげもの やうやうちゃいろくなりゆくあげぎは
寝坊した	ねぼうした
まずは下半分	まずはしもはんぶん
体中短冊だらけ	からだちゅうたんざくだらけ
ハンターハンターの新刊読んでたらこんな時間になってしまった 文字多すぎるんよ	はんたーはんたーのしんかんよんでたらこんなじかんになってしまった もじおおすぎるんよ
オーホホホ！！	おーほほほ！！
週末、飯作って食って片付けて家事片付けて飯作って食って片付けてってしてると1日終わる	しゅうまつ、めしつくってくってかたづけてかじかたづけてめしつくってくってかたづけてってしてると1にちおわる
根っこ？茎？	ねっこ？くき？
一度根っこのままのわさび買ってきてすり下ろすのやってみたいんだよな	いちどねっこのままのわさびかってきてすりおろすのやってみたいんだよな
