# title: せいべ @seibe
# category: handon.club
# @seibe@handon.club の投稿より(本人許諾済み)
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
はい許諾しますただし権利は放棄しません	はいきょだくしますただしけんりはほうきしません
テンションでしかない	てんしょんでしかない
書いてるうちによく分からなくなってた	かいてるうちによくわからなくなってた
乾燥わかめも使い勝手いいよな	かんそうわかめもつかいがっていいよな
このピアノの強弱をインストールしたい	このぴあののきょうじゃくをいんすとーるしたい
水泳今やったら1000 筋肉痛なる	すいえいいまやったら1000 きんにくつうなる
AndroidのブラウザがExif消すみたいなことをすてらさんが言っていたような うろ覚え	AndroidのぶらうざがExifけすみたいなことをすてらさんがいっていたような うろおぼえ
ああきのこ、食感よくて独自のだしも取れてカロリーゼロで・・	ああきのこ、しょっかんよくてどくじのだしもとれてかろりーぜろで・・
まいたけもすき しいたけは最近すきになった ぶなしめじは相棒 えのきは王	まいたけもすき しいたけはさいきんすきになった ぶなしめじはあいぼう えのきはおう
きのこの山派というわけではないです	きのこのやまはというわけではないです
かけうどんだし過激派の生態系を知った	かけうどんだしかげきはのせいたいけいをしった
字の大きさが難しい	じのおおきさがむずかしい
よくわからんけどリモワどうでしょう	よくわからんけどりもわどうでしょう
連テーマで連載感出てきた	れんてーまでれんさいかんでてきた
threadsでググるのどうなんですか	threadsでぐぐるのどうなんですか
Xでぐぐるのやってたな	Xでぐぐるのやってたな
友人がMSは良いプロダクトと悪いプロダクトの差が激しいと言っていたどまあ確かにそうだと思う	ゆうじんがMSはよいぷろだくととわるいぷろだくとのさがはげしいといっていたどまあたしかにそうだとおもう
初の問いかけ型投稿	はつのといかけがたとうこう
memo 上げ底は有効	memo あげぞこはゆうこう
アマプラした	あまぷらした
モバブでもなく、モバ充でもなく、モババと言っていきたい	もばぶでもなく、もばじゅうでもなく、もばばといっていきたい
セカンダリー	せかんだりー
おすすめ おすすめでなくてもよい プライムデー情報緩募してます	おすすめ おすすめでなくてもよい ぷらいむでーじょうほうゆるぼしてます
日傘去年曲がって修理出そうと思ってたら季節が過ぎておくれた	ひがさきょねんまがってしゅうりだそうとおもってたらきせつがすぎておくれた
言い間違えた後自分で笑ってしまった	いいまちがえたのちじぶんでわらってしまった
音空間の構築がもっとできるようになりたい	おとくうかんのこうちくがもっとできるようになりたい
微個人情報	びこじんじょうほう
函館山って標高334mなのか 阪神関係ない	はこだてやまってひょうこう334mなのか はんしんかんけいない
さっさと風呂廃炉、それは正しいです	さっさとふろはいろ、それはただしいです
十年後もめしの画像が投稿できる世界でありますように	じゅうねんごもめしのがぞうがとうこうできるせかいでありますように
音ゲーやっている傍で無限にドリル音鳴らすカチーナ、端的に言って五月蝿かった、五月蝿すぎて終始笑いながら音ゲーやってた	おとげーやっているはたでむげんにどりるおんならすかちーな、たんてきにいってうるさかった、うるさすぎてしゅうしわらいながらおとげーやってた
たのはら、カチーナの意外なポテンシャルを発見した回だった	たのはら、かちーなのいがいなぽてんしゃるをはっけんしたかいだった
社会派	しゃかいは
休憩	きゅうけい
Hayah	Hayah
最後の文字なとねを書き間違えた	さいごのもじなとねをかきまちがえた
たくさんカタカナをかいた	たくさんかたかなをかいた
「し」の形にこだわりあり	「し」のかたちにこだわりあり
タイルで見ていたからわからなかった、あとPCだと問題なさそう 描画幅の問題？	たいるでみていたからわからなかった、あとPCだともんだいなさそう びょうがはばのもんだい？
あー積み上げの	あーつみあげの
なるほど普通の写真でこんな縦長の画像はないか・・	なるほどふつうのしゃしんでこんなたてながのがぞうはないか・・
毎回手動でトリミングしているけれどもそれが原因ではないですよね多分	まいかいしゅどうでとりみんぐしているけれどもそれがげんいんではないですよねたぶん
バグ引いちゃった、いとをかし	ばぐひいちゃった、いとをかし
滑り込んだ	すべりこんだ
歩いてるときに思いついた	あるいてるときにおもいついた
一度だけ自動駐車搭載車に乗ったことがあったけれどちゃんと入るのか不安でそのときは手動で車庫入れしてしまった	いちどだけじどうちゅうしゃとうさいしゃにのったことがあったけれどちゃんとはいるのかふあんでそのときはしゅどうでしゃこいれしてしまった
