# id: basic
# title: 基本
# order: 10
# 基本単語リスト
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
今日はいい天気です	きょうはいいてんきです
タイピングゲーム	たいぴんぐげーむ
学校に行く	がっこうにいく
新幹線	しんかんせん
プログラミング	ぷろぐらみんぐ
お疲れ様でした	おつかれさまでした
抹茶ラテ	まっちゃらて
インターネット	いんたーねっと
ちょっと待って	ちょっとまって
面白い本を読んだ	おもしろいほんをよんだ
天気予報	てんきよほう
郵便局	ゆうびんきょく
写真を撮る	しゃしんをとる
牛乳を買う	ぎゅうにゅうをかう
図書館で勉強する	としょかんでべんきょうする
特急列車	とっきゅうれっしゃ
百人一首	ひゃくにんいっしゅ
自転車で通勤	じてんしゃでつうきん
入力方式	にゅうりょくほうしき
確認しました	かくにんしました
喫茶店でコーヒー	きっさてんでこーひー
朝ごはんを食べる	あさごはんをたべる
夜更かしは禁物	よふかしはきんもつ
温泉旅行	おんせんりょこう
花火大会	はなびたいかい
残業しない	ざんぎょうしない
猫が寝ている	ねこがねている
雨のち晴れ	あめのちはれ
急がば回れ	いそがばまわれ
継続は力なり	けいぞくはちからなり
千載一遇	せんざいいちぐう
一石二鳥	いっせきにちょう
オブジェクトストレージ	おぶじぇくとすとれーじ
サーバーが落ちた	さーばーがおちた
キーボード	きーぼーど
ショートカットキー	しょーとかっときー
バックアップは大事	ばっくあっぷはだいじ
再起動してください	さいきどうしてください
接続が切れました	せつぞくがきれました
充電器を忘れた	じゅうでんきをわすれた
