# title: 基本
# category: 一般
# 基本単語リスト
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
今日はいい天気です	きょうはいいてんきです
タイピングゲーム	たいぴんぐげーむ
学校に行く	がっこうにいく
新幹線	しんかんせん
プログラミング	ぷろぐらみんぐ
お疲れ様でした	おつかれさまでした
抹茶ラテ	まっちゃらて
インターネット	いんたーねっと
ちょっと待って	ちょっとまって
面白い本を読んだ	おもしろいほんをよんだ
天気予報	てんきよほう
郵便局	ゆうびんきょく
写真を撮る	しゃしんをとる
牛乳を買う	ぎゅうにゅうをかう
図書館で勉強する	としょかんでべんきょうする
特急列車	とっきゅうれっしゃ
百人一首	ひゃくにんいっしゅ
自転車で通勤	じてんしゃでつうきん
入力方式	にゅうりょくほうしき
確認しました	かくにんしました
喫茶店でコーヒー	きっさてんでこーひー
朝ごはんを食べる	あさごはんをたべる
夜更かしは禁物	よふかしはきんもつ
温泉旅行	おんせんりょこう
花火大会	はなびたいかい
残業しない	ざんぎょうしない
猫が寝ている	ねこがねている
雨のち晴れ	あめのちはれ
急がば回れ	いそがばまわれ
継続は力なり	けいぞくはちからなり
千載一遇	せんざいいちぐう
一石二鳥	いっせきにちょう
オブジェクトストレージ	おぶじぇくとすとれーじ
サーバーが落ちた	さーばーがおちた
キーボード	きーぼーど
ショートカットキー	しょーとかっときー
バックアップは大事	ばっくあっぷはだいじ
再起動してください	さいきどうしてください
接続が切れました	せつぞくがきれました
充電器を忘れた	じゅうでんきをわすれた
冷蔵庫を開ける	れいぞうこをあける
洗濯物を干す	せんたくものをほす
週末は映画を見る	しゅうまつはえいがをみる
電車が遅れている	でんしゃがおくれている
傘を持っていく	かさをもっていく
お弁当を作る	おべんとうをつくる
散歩に出かける	さんぽにでかける
宿題が終わらない	しゅくだいがおわらない
目覚まし時計	めざましどけい
横断歩道を渡る	おうだんほどうをわたる
信号が青になった	しんごうがあおになった
駅前のパン屋	えきまえのぱんや
焼きたてのパン	やきたてのぱん
カレーライス	かれーらいす
唐揚げ定食	からあげていしょく
味噌汁と白ごはん	みそしるとしろごはん
コンビニで買い物	こんびにでかいもの
お釣りをもらう	おつりをもらう
領収書をください	りょうしゅうしょをください
電子マネーで支払う	でんしまねーでしはらう
予約を変更する	よやくをへんこうする
打ち合わせは三時から	うちあわせはさんじから
資料を印刷する	しりょうをいんさつする
会議室を予約する	かいぎしつをよやくする
メールを送信しました	めーるをそうしんしました
添付ファイル	てんぷふぁいる
折り返し電話します	おりかえしでんわします
よろしくお願いします	よろしくおねがいします
お世話になっております	おせわになっております
承知しました	しょうちしました
少々お待ちください	しょうしょうおまちください
電波が悪い	でんぱがわるい
充電が切れそう	じゅうでんがきれそう
アラームを止める	あらーむをとめる
二度寝してしまった	にどねしてしまった
終電を逃した	しゅうでんをのがした
帰り道に雨が降った	かえりみちにあめがふった
虹がかかっている	にじがかかっている
桜が満開です	さくらがまんかいです
紅葉がきれい	こうようがきれい
初雪が降った	はつゆきがふった
梅雨入りしました	つゆいりしました
蝉の鳴き声	せみのなきごえ
夏休みの計画	なつやすみのけいかく
海水浴に行く	かいすいよくにいく
かき氷を食べる	かきごおりをたべる
扇風機をつける	せんぷうきをつける
こたつでみかん	こたつでみかん
大掃除をする	おおそうじをする
年賀状を書く	ねんがじょうをかく
初詣に行く	はつもうでにいく
お年玉をもらう	おとしだまをもらう
誕生日おめでとう	たんじょうびおめでとう
プレゼントを選ぶ	ぷれぜんとをえらぶ
ケーキを予約する	けーきをよやくする
風邪をひいた	かぜをひいた
うがいと手洗い	うがいとてあらい
早寝早起き	はやねはやおき
ストレッチをする	すとれっちをする
筋肉痛になった	きんにくつうになった
駅まで走る	えきまではしる
深呼吸をする	しんこきゅうをする
湯船につかる	ゆぶねにつかる
歯を磨く	はをみがく
爪を切る	つめをきる
部屋を片付ける	へやをかたづける
ゴミを出す日	ごみをだすひ
電球を交換する	でんきゅうをこうかんする
宅配便が届いた	たくはいびんがとどいた
回覧板を回す	かいらんばんをまわす
銀行で振り込み	ぎんこうでふりこみ
パスワードを変更する	ぱすわーどをへんこうする
アプリを更新する	あぷりをこうしんする
画面が固まった	がめんがかたまった
印刷用紙がない	いんさつようしがない
会員登録をする	かいいんとうろくをする
迷惑メールを削除	めいわくめーるをさくじょ
検索して調べる	けんさくしてしらべる
地図アプリで確認	ちずあぷりでかくにん
乗り換え案内	のりかえあんない
