# title: 基本
# category: 一般
# 標準の単語リスト。日常会話ベースの長めの文章に、ビジネス・小説風・豆知識・早口言葉など長短を混在
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
今日は久しぶりに晴れたから、洗濯物がよく乾きそうだね	きょうはひさしぶりにはれたから、せんたくものがよくかわきそうだね
帰りにスーパーへ寄るけど、何か買ってきてほしいものはある？	かえりにすーぱーへよるけど、なにかかってきてほしいものはある？
昨日はなかなか寝つけなくて、今朝は二度寝してしまった	きのうはなかなかねつけなくて、けさはにどねしてしまった
週末は天気が崩れるらしいから、傘を忘れないようにしよう	しゅうまつはてんきがくずれるらしいから、かさをわすれないようにしよう
さっきのニュースを見た？あの話題で持ちきりだったよ	さっきのにゅーすをみた？あのわだいでもちきりだったよ
電車が遅れているみたいだから、先に行っていてください	でんしゃがおくれているみたいだから、さきにいっていてください
今度の連休はどこかへ出かけようか、それとも家でゆっくりしようか	こんどのれんきゅうはどこかへでかけようか、それともいえでゆっくりしようか
最近運動不足だから、一駅手前で降りて歩くことにした	さいきんうんどうぶそくだから、ひとえきてまえでおりてあるくことにした
冷蔵庫に何もなかったから、今夜は外食にしようと思う	れいぞうこになにもなかったから、こんやはがいしょくにしようとおもう
この前貸してくれた本、すごく面白くて一気に読んじゃった	このまえかしてくれたほん、すごくおもしろくていっきによんじゃった
風邪気味だったけど、早めに寝たらだいぶ良くなったよ	かぜぎみだったけど、はやめにねたらだいぶよくなったよ
駅で偶然昔の友達に会って、つい長話をしてしまった	えきでぐうぜんむかしのともだちにあって、ついながばなしをしてしまった
新しいカフェのケーキが評判らしいから、今度一緒に行こうよ	あたらしいかふぇのけーきがひょうばんらしいから、こんどいっしょにいこうよ
充電器を忘れてきちゃったんだけど、ちょっと借りてもいい？	じゅうでんきをわすれてきちゃったんだけど、ちょっとかりてもいい？
来月の予定がまだ決まらないから、決まり次第連絡するね	らいげつのよていがまだきまらないから、きまりしだいれんらくするね
朝ごはんをしっかり食べると、午前中の集中力が違う気がする	あさごはんをしっかりたべると、ごぜんちゅうのしゅうちゅうりょくがちがうきがする
ベランダの植木に水をやるのを、うっかり忘れるところだった	べらんだのうえきにみずをやるのを、うっかりわすれるところだった
荷物が多くて大変そうだね、半分持つから貸してごらん	にもつがおおくてたいへんそうだね、はんぶんもつからかしてごらん
目覚まし時計を三つもかけたのに、結局止めて寝てしまった	めざましどけいをみっつもかけたのに、けっきょくとめてねてしまった
天気予報では夕方から雨だって、折りたたみ傘を持っていこう	てんきよほうではゆうがたからあめだって、おりたたみがさをもっていこう
引っ越しの片付けがようやく終わって、部屋がすっきりした	ひっこしのかたづけがようやくおわって、へやがすっきりした
誕生日プレゼント、何がいいか全然思いつかなくて困ってる	たんじょうびぷれぜんと、なにがいいかぜんぜんおもいつかなくてこまってる
最寄り駅までのバスが混んでいて、座れたのは奇跡だった	もよりえきまでのばすがこんでいて、すわれたのはきせきだった
図書館で借りた本の返却期限が、明日までだと気づいた	としょかんでかりたほんのへんきゃくきげんが、あしたまでだときづいた
夜遅くにラーメンを食べると、次の日ちょっと後悔するよね	よるおそくにらーめんをたべると、つぎのひちょっとこうかいするよね
旅行の写真を整理していたら、懐かしくて手が止まらなかった	りょこうのしゃしんをせいりしていたら、なつかしくててがとまらなかった
スマホの調子が悪いから、そろそろ買い替えようか迷ってる	すまほのちょうしがわるいから、そろそろかいかえようかまよってる
朝の散歩を始めてから、なんとなく体の調子がいい気がする	あさのさんぽをはじめてから、なんとなくからだのちょうしがいいきがする
約束の時間より早く着いたから、近くの本屋で時間をつぶした	やくそくのじかんよりはやくついたから、ちかくのほんやでじかんをつぶした
ポイントカードを作ったのに、いつも出すのを忘れてしまう	ぽいんとかーどをつくったのに、いつもだすのをわすれてしまう
週末に部屋の模様替えをしたら、気分まで新しくなった	しゅうまつにへやのもようがえをしたら、きぶんまであたらしくなった
帰り道にきれいな夕焼けが見えて、思わず写真を撮った	かえりみちにきれいなゆうやけがみえて、おもわずしゃしんをとった
今日ランチどこ行く？	きょうらんちどこいく？
ちょっと遅れそう、先行ってて！	ちょっとおくれそう、さきいってて！
了解！あとでまた連絡するね	りょうかい！あとでまたれんらくするね
今夜飲みに行かない？	こんやのみにいかない？
お疲れ様！今日も一日頑張ったね	おつかれさま！きょうもいちにちがんばったね
ごめん、今日はちょっと無理かも	ごめん、きょうはちょっとむりかも
駅に着いたよ、今どこ？	えきについたよ、いまどこ？
明日の予定って何時から？	あしたのよていってなんじから？
さっきの話、続き聞かせて！	さっきのはなし、つづききかせて！
ありがとう、助かったよ！	ありがとう、たすかったよ！
今どこにいる？もうすぐ着く？	いまどこにいる？もうすぐつく？
そうなんだ、大丈夫？	そうなんだ、だいじょうぶ？
お腹すいた、何か食べに行こう	おなかすいた、なにかたべにいこう
週末予定あいてる？	しゅうまつよていあいてる？
写真送って！見たい！	しゃしんおくって！みたい！
お世話になっております。先日はお時間をいただきありがとうございました。	おせわになっております。せんじつはおじかんをいただきありがとうございました。
ご確認のほど、よろしくお願いいたします。	ごかくにんのほど、よろしくおねがいいたします。
ご不明な点がございましたら、お気軽にお問い合わせください。	ごふめいなてんがございましたら、おきがるにおといあわせください。
誠に恐れ入りますが、今週中にご回答いただけますでしょうか。	まことにおそれいりますが、こんしゅうじゅうにごかいとういただけますでしょうか。
先ほどお送りしたメールに添付ファイルをつけ忘れておりました。大変失礼いたしました。	さきほどおおくりしためーるにてんぷふぁいるをつけわすれておりました。たいへんしつれいいたしました。
ご多忙のところ大変恐縮ですが、ご検討いただけますと幸いです。	ごたぼうのところたいへんきょうしゅくですが、ごけんとういただけますとさいわいです。
本日の打ち合わせで確認した内容を、以下にまとめてご共有いたします。	ほんじつのうちあわせでかくにんしたないようを、いかにまとめてごきょうゆういたします。
ご返信が遅くなりまして、大変申し訳ございません。	ごへんしんがおそくなりまして、たいへんもうしわけございません。
来週のご都合のよい日時をいくつかお知らせいただけますでしょうか。	らいしゅうのごつごうのよいにちじをいくつかおしらせいただけますでしょうか。
引き続きどうぞよろしくお願い申し上げます。	ひきつづきどうぞよろしくおねがいもうしあげます。
明日の会議の資料を印刷したので、猫にエサをあげるのを忘れないでください。	あしたのかいぎのしりょうをいんさつしたので、ねこにえさをあげるのをわすれないでください。
お疲れ様でした。冷蔵庫にプリンが入っていますので、食べてくださいね。	おつかれさまでした。れいぞうこにぷりんがはいっていますので、たべてくださいね。
来週の打ち合わせの件ですが、最近ずっと眠れていません。	らいしゅうのうちあわせのけんですが、さいきんずっとねむれていません。
先ほどの件はご了承いただけましたでしょうか。あと、靴下が片方ありません。	さきほどのけんはごりょうしょういただけましたでしょうか。あと、くつしたがかたほうありません。
資料を添付いたしますので、そろそろ桜の季節ですね。	しりょうをてんぷいたしますので、そろそろさくらのきせつですね。
本日はお越しいただきありがとうございました。昨日スーパーでばったり田中さんを見かけました。	ほんじつはおこしいただきありがとうございました。きのうすーぱーでばったりたなかさんをみかけました。
締め切りは明日の正午で、そのために今朝コーヒーをこぼしました。	しめきりはあしたのしょうごで、そのためにけさこーひーをこぼしました。
ご提案の件、前向きに検討いたします	ごていあんのけん、まえむきにけんとういたします
お返事が遅くなり申し訳ありません。最近ハマっているドラマが最終回を迎えました。	おへんじがおそくなりもうしわけありません。さいきんはまっているどらまがさいしゅうかいをむかえました。
明後日までにご返信ください。なお、昨日からくしゃみが止まりません。	あさってまでにごへんしんください。なお、きのうからくしゃみがとまりません。
議事録を共有いたします。最近やたらとカラスが多い気がします。	ぎじろくをきょうゆういたします。さいきんやたらとからすがおおいきがします。
先日はありがとうございました。ちなみに今年初めてセミの声を聞きました。	せんじつはありがとうございました。ちなみにことしはじめてせみのこえをききました。
以上、ご確認のほどよろしくお願いいたします。あ、エアコンのフィルターそろそろ掃除しないといけませんね。	いじょう、ごかくにんのほどよろしくおねがいいたします。あ、えあこんのふぃるたーそろそろそうじしないといけませんね。
雨が窓を叩く音だけが、その夜の沈黙を破っていた。	あめがまどをたたくおとだけが、そのよるのちんもくをやぶっていた。
彼女の笑顔は、曇り空にさした一筋の光のようだった。	かのじょのえがおは、くもりぞらにさしたひとすじのひかりのようだった。
息が白くなる季節に、彼はいつも思い出す。	いきがしろくなるきせつに、かれはいつもおもいだす。
時計の針が止まったように、その瞬間だけが長く続いた。	とけいのはりがとまったように、そのしゅんかんだけがながくつづいた。
夕暮れが街を橙色に染めていく中、彼女はまだ帰り道を急がなかった。	ゆうぐれがまちをだいだいいろにそめていくなか、かのじょはまだかえりみちをいそがなかった。
波の音だけが聞こえた。	なみのおとだけがきこえた。
誰かに呼ばれた気がして振り返ったが、そこには誰もいなかった。	だれかによばれたきがしてふりかえったが、そこにはだれもいなかった。
桜の花びらが一枚、彼女の肩に静かに落ちてきた。	さくらのはなびらがいちまい、かのじょのかたにしずかにおちてきた。
長い廊下の先に、薄く光が漏れていた。	ながいろうかのさきに、うすくひかりがもれていた。
彼は何も言わなかった。言葉など、もとから必要なかったのかもしれない。	かれはなにもいわなかった。ことばなど、もとからひつようなかったのかもしれない。
朝露に濡れた草の上を、子どもたちの笑い声が転がっていった。	あさつゆにぬれたくさのうえを、こどもたちのわらいごえがころがっていった。
見慣れたはずの景色が、その日に限って別の場所のように見えた。	みなれたはずのけしきが、そのひにかぎってべつのばしょのようにみえた。
彼女が去ったあと、部屋にはかすかな香りだけが残った。	かのじょがさったあと、へやにはかすかなかおりだけがのこった。
冬の朝、世界はまだ眠っていた。	ふゆのあさ、せかいはまだねむっていた。
何年も会っていなかったのに、彼の声を聞いた瞬間、時間が巻き戻るような気がした。	なんねんもあっていなかったのに、かれのこえをきいたしゅんかん、じかんがまきもどるようなきがした。
パスワードは定期的に変更することをおすすめします。	ぱすわーどはていきてきにへんこうすることをおすすめします。
