# title: 日常会話(長め)
# category: 一般
# 日常会話をベースにした少し長めの文章
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
今日は久しぶりに晴れたから、洗濯物がよく乾きそうだね	きょうはひさしぶりにはれたから、せんたくものがよくかわきそうだね
帰りにスーパーへ寄るけど、何か買ってきてほしいものはある？	かえりにすーぱーへよるけど、なにかかってきてほしいものはある？
昨日はなかなか寝つけなくて、今朝は二度寝してしまった	きのうはなかなかねつけなくて、けさはにどねしてしまった
週末は天気が崩れるらしいから、傘を忘れないようにしよう	しゅうまつはてんきがくずれるらしいから、かさをわすれないようにしよう
お昼は何を食べようか、駅前に新しいお店ができたらしいよ	おひるはなにをたべようか、えきまえにあたらしいおみせができたらしいよ
さっきのニュースを見た？あの話題で持ちきりだったよ	さっきのにゅーすをみた？あのわだいでもちきりだったよ
電車が遅れているみたいだから、先に行っていてください	でんしゃがおくれているみたいだから、さきにいっていてください
今度の連休はどこかへ出かけようか、それとも家でゆっくりしようか	こんどのれんきゅうはどこかへでかけようか、それともいえでゆっくりしようか
最近運動不足だから、一駅手前で降りて歩くことにした	さいきんうんどうぶそくだから、ひとえきてまえでおりてあるくことにした
冷蔵庫に何もなかったから、今夜は外食にしようと思う	れいぞうこになにもなかったから、こんやはがいしょくにしようとおもう
この前貸してくれた本、すごく面白くて一気に読んじゃった	このまえかしてくれたほん、すごくおもしろくていっきによんじゃった
会議の資料は明日の朝までに共有しておきますね	かいぎのしりょうはあしたのあさまでにきょうゆうしておきますね
風邪気味だったけど、早めに寝たらだいぶ良くなったよ	かぜぎみだったけど、はやめにねたらだいぶよくなったよ
駅で偶然昔の友達に会って、つい長話をしてしまった	えきでぐうぜんむかしのともだちにあって、ついながばなしをしてしまった
新しいカフェのケーキが評判らしいから、今度一緒に行こうよ	あたらしいかふぇのけーきがひょうばんらしいから、こんどいっしょにいこうよ
充電器を忘れてきちゃったんだけど、ちょっと借りてもいい？	じゅうでんきをわすれてきちゃったんだけど、ちょっとかりてもいい？
来月の予定がまだ決まらないから、決まり次第連絡するね	らいげつのよていがまだきまらないから、きまりしだいれんらくするね
朝ごはんをしっかり食べると、午前中の集中力が違う気がする	あさごはんをしっかりたべると、ごぜんちゅうのしゅうちゅうりょくがちがうきがする
ベランダの植木に水をやるのを、うっかり忘れるところだった	べらんだのうえきにみずをやるのを、うっかりわすれるところだった
今日中に終わらせたい仕事があるから、少し残って作業していくよ	きょうじゅうにおわらせたいしごとがあるから、すこしのこってさぎょうしていくよ
荷物が多くて大変そうだね、半分持つから貸してごらん	にもつがおおくてたいへんそうだね、はんぶんもつからかしてごらん
目覚まし時計を三つもかけたのに、結局止めて寝てしまった	めざましどけいをみっつもかけたのに、けっきょくとめてねてしまった
天気予報では夕方から雨だって、折りたたみ傘を持っていこう	てんきよほうではゆうがたからあめだって、おりたたみがさをもっていこう
引っ越しの片付けがようやく終わって、部屋がすっきりした	ひっこしのかたづけがようやくおわって、へやがすっきりした
誕生日プレゼント、何がいいか全然思いつかなくて困ってる	たんじょうびぷれぜんと、なにがいいかぜんぜんおもいつかなくてこまってる
電子レンジで温めすぎて、スープが熱々になってしまった	でんしれんじであたためすぎて、すーぷがあつあつになってしまった
最寄り駅までのバスが混んでいて、座れたのは奇跡だった	もよりえきまでのばすがこんでいて、すわれたのはきせきだった
図書館で借りた本の返却期限が、明日までだと気づいた	としょかんでかりたほんのへんきゃくきげんが、あしたまでだときづいた
夜遅くにラーメンを食べると、次の日ちょっと後悔するよね	よるおそくにらーめんをたべると、つぎのひちょっとこうかいするよね
旅行の写真を整理していたら、懐かしくて手が止まらなかった	りょこうのしゃしんをせいりしていたら、なつかしくててがとまらなかった
スマホの調子が悪いから、そろそろ買い替えようか迷ってる	すまほのちょうしがわるいから、そろそろかいかえようかまよってる
今夜は鍋にしようと思うんだけど、何味の鍋が食べたい？	こんやはなべにしようとおもうんだけど、なにあじのなべがたべたい？
朝の散歩を始めてから、なんとなく体の調子がいい気がする	あさのさんぽをはじめてから、なんとなくからだのちょうしがいいきがする
約束の時間より早く着いたから、近くの本屋で時間をつぶした	やくそくのじかんよりはやくついたから、ちかくのほんやでじかんをつぶした
ポイントカードを作ったのに、いつも出すのを忘れてしまう	ぽいんとかーどをつくったのに、いつもだすのをわすれてしまう
週末に部屋の模様替えをしたら、気分まで新しくなった	しゅうまつにへやのもようがえをしたら、きぶんまであたらしくなった
帰り道にきれいな夕焼けが見えて、思わず写真を撮った	かえりみちにきれいなゆうやけがみえて、おもわずしゃしんをとった
忘れないうちに、来週の予定をカレンダーに書いておこう	わすれないうちに、らいしゅうのよていをかれんだーにかいておこう
お土産にもらったお菓子が、想像以上においしくて驚いた	おみやげにもらったおかしが、そうぞういじょうにおいしくておどろいた
今日も一日お疲れさま、ゆっくり休んでまた明日頑張ろう	きょうもいちにちおつかれさま、ゆっくりやすんでまたあしたがんばろう
