# title: ことわざ・四字熟語
# category: 一般
# ことわざ・四字熟語
石の上にも三年	いしのうえにもさんねん
猿も木から落ちる	さるもきからおちる
七転び八起き	ななころびやおき
塵も積もれば山となる	ちりもつもればやまとなる
花より団子	はなよりだんご
猫に小判	ねこにこばん
豚に真珠	ぶたにしんじゅ
百聞は一見に如かず	ひゃくぶんはいっけんにしかず
善は急げ	ぜんはいそげ
温故知新	おんこちしん
一期一会	いちごいちえ
自業自得	じごうじとく
十人十色	じゅうにんといろ
起死回生	きしかいせい
犬も歩けば棒に当たる	いぬもあるけばぼうにあたる
石橋を叩いて渡る	いしばしをたたいてわたる
二兎を追う者は一兎をも得ず	にとをおうものはいっとをもえず
早起きは三文の徳	はやおきはさんもんのとく
能ある鷹は爪を隠す	のうあるたかはつめをかくす
井の中の蛙大海を知らず	いのなかのかわずたいかいをしらず
郷に入っては郷に従え	ごうにいってはごうにしたがえ
泣きっ面に蜂	なきっつらにはち
弘法にも筆の誤り	こうぼうにもふでのあやまり
河童の川流れ	かっぱのかわながれ
情けは人の為ならず	なさけはひとのためならず
灯台下暗し	とうだいもとくらし
出る杭は打たれる	でるくいはうたれる
蓼食う虫も好き好き	たでくうむしもすきずき
論より証拠	ろんよりしょうこ
案ずるより産むが易し	あんずるよりうむがやすし
覆水盆に返らず	ふくすいぼんにかえらず
良薬は口に苦し	りょうやくはくちににがし
背に腹はかえられぬ	せにはらはかえられぬ
隣の芝生は青い	となりのしばふはあおい
因果応報	いんがおうほう
疑心暗鬼	ぎしんあんき
五里霧中	ごりむちゅう
試行錯誤	しこうさくご
切磋琢磨	せっさたくま
大器晩成	たいきばんせい
電光石火	でんこうせっか
日進月歩	にっしんげっぽ
