# title: 早口言葉
# category: 一般
# 早口言葉
生麦生米生卵	なまむぎなまごめなまたまご
隣の客はよく柿食う客だ	となりのきゃくはよくかきくうきゃくだ
赤巻紙青巻紙黄巻紙	あかまきがみあおまきがみきまきがみ
坊主が屏風に上手に坊主の絵を描いた	ぼうずがびょうぶにじょうずにぼうずのえをかいた
東京特許許可局	とうきょうとっきょきょかきょく
バスガス爆発	ばすがすばくはつ
庭には二羽鶏がいる	にわにはにわにわとりがいる
すもももももももものうち	すもももももももものうち
かえるぴょこぴょこ三ぴょこぴょこ	かえるぴょこぴょこみぴょこぴょこ
合わせてぴょこぴょこ六ぴょこぴょこ	あわせてぴょこぴょこむぴょこぴょこ
隣の竹垣に竹立てかけた	となりのたけがきにたけたてかけた
新春シャンソンショー	しんしゅんしゃんそんしょー
老若男女	ろうにゃくなんにょ
骨粗鬆症訴訟勝訴	こつそしょうしょうそしょうしょうそ
除雪車除雪作業中	じょせつしゃじょせつさぎょうちゅう
赤パジャマ青パジャマ黄パジャマ	あかぱじゃまあおぱじゃまきぱじゃま
魔術師魔術修行中	まじゅつしまじゅつしゅぎょうちゅう
武具馬具武具馬具三武具馬具	ぶぐばぐぶぐばぐみぶぐばぐ
合わせて武具馬具六武具馬具	あわせてぶぐばぐむぶぐばぐ
菊栗菊栗三菊栗	きくくりきくくりみきくくり
合わせて菊栗六菊栗	あわせてきくくりむきくくり
この釘はひきぬきにくい釘だ	このくぎはひきぬきにくいくぎだ
京の生鱈奈良生まな鰹	きょうのなまだらならなままながつお
瓜売りが瓜売りに来て瓜売れず売り売り帰る瓜売りの声	うりうりがうりうりにきてうりうれずうりうりかえるうりうりのこえ
この寿司は少し酢が効きすぎた	このすしはすこしすがききすぎた
書写山の社僧正	しょしゃざんのしゃそうじょう
美術室技術室手術室	びじゅつしつぎじゅつしつしゅじゅつしつ
高架橋橋脚	こうかきょうきょうきゃく
バナナの謎はまだ謎なのだぞ	ばななのなぞはまだなぞなのだぞ
東京特許許可局局長急遽休暇許可拒否	とうきょうとっきょきょかきょくきょくちょうきゅうきょきゅうかきょかきょひ
